Class;Name;Comments;M or O;D or A;Class;Dims;Size or content;Min;Max;Accessory Class
ONDE_UT;ONDE:FILETYPE;For detailed information, see the [data model specification](../data_model.html);M;A;H5T_STRING;[*];["ONDE_DATASET","ONDE_UT"];;;
ONDE_UT;ONDE:VERSION;;M;A;H5T_STRING;1;"0.9.1";;;
ONDE_DATASET;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_DATASET"];;;
ONDE_DATASET;ONDE:LABEL;A name for this dataset;O;A;H5T_STRING;1;;;;
ONDE_DATASET;ONDE:UUID;The UUID field is a mandatory universally unique identifier. These are stored as strings, limited to no more than 63 printable ASCII characters. UUIDs should be compatible with DICOM for interoperabiltity. See [Creating a Privately Defined Unique Identifier](https://dicom.nema.org/medical/dicom/current/output/chtml/part05/chapter_B.html) and [UUID Derived UID](https://dicom.nema.org/medical/dicom/current/output/chtml/part05/sect_B.2.html). The recommended process is to create a 128 bit UUID for each dataset by hashing information including equipment model and serial number and time, and if possible end user information as well. This UUID should be printed as a decimal number, with leading zeros eliminated, and given a prefix of "2.25.". ;M;A;H5T_STRING;1;;;;
ONDE_DATASET;ONDE_DATASET:SETUP;;M;A;H5T_STD_REF_OBJ<ONDE_SETUP>;1;;;;
ONDE_DATASET;ONDE_DATASET:OPERATOR;;O;A;H5T_STRING;1;;;;
ONDE_DATASET;ONDE_DATASET:DATE_AND_TIME;The ISO 8601 extended format: 'yyyy-mm-ddTHH:MM:SS' (e.g. '2019-01-16T17:05:06') must be used with a capital T separating the date and the time. Optionally, a decimal point ('.') and a fractional portion of a second may be appended. In addition, time zone information is usually appended: * "Z", indicating a timestamp in UTC * "±hh:mm", indicating a timezone with the specified offset from UTC * (no timezone information), indicating an unknown timezone, software will usually interpret this as local time or UTC. ;M;A;H5T_STRING;1;;;;
ONDE_DATASET;ONDE_DATASET:DATA;Data can be either an array or a reference to an array. Omitting this field is possible, in the event when Tscan or Cscan data is recorded but the underlying Ascan data is not. The dimensions of the dataset are application dependent, subclasses can override and specify the dimensions.;O;A or D;H5T_STD_REF_OBJ<data> or H5T_INTEGER or H5T_FLOAT;;;;;
ONDE_DATASET;ONDE_DATASET:AMPLITUDE_DIMENSION;If absent, treated as coordinate "Amplitude", units "Arbitrary", offset 0.0, scale 1.0;O;A;H5T_STD_REF_OBJ<ONDE_DIMENSION>;1;;;;
